hexid	date	distToFront	geometry
5030	2021-07-03	0	c(524361.148445186, 524291.41718244, 4227344.7530926, 4250516.86258112)
4965	2021-07-03	0	c(524974.008334859, 508750.22810501, 4018832.67516254, 4007219.13033675)
5027	2021-07-03	19952.079299332876	c(541264.391560677, 524974.008334859, 4007312.39485428, 4018832.67516254)
5057	2021-07-03	0	c(541373.757064939, 541264.391560677, 3984148.71466423, 4007312.39485428)
4965	2021-07-03	0	c(508703.497479745, 524907.231914021, 4053548.48427967, 4041997.42328974)
4966	2021-07-03	0	c(524772.68450415, 508679.958087329, 4088329.35442395, 4076714.38074594)
5027	2021-07-03	0	c(524907.231914021, 541044.0130586, 4041997.42328974, 4053642.1718666)
5030	2021-07-03	23172.214408567215	c(524291.41718244, 540025.409684118, 4250516.86258112, 4262166.39491386)
4993	2021-07-03	20210.888727120357	c(542018.329535795, 525496.17243638, 3845183.42586874, 3833543.65329024)
5085	2021-07-03	0	c(558792.904394345, 558646.25529325, 3810536.68386685, 3833694.64402972)
4993	2021-07-03	20159.898625530353	c(525367.651071736, 541912.291107072, 3879861.10999379, 3868342.31851544)
5086	2021-07-03	0	c(558350.617140028, 558201.631882721, 3880012.92046332, 3903173.24106689)
5057	2021-07-03	0	c(557750.03437764, 541373.757064939, 3972658.95754894, 3984148.71466423)
4966	2021-07-03	0	c(524704.915245995, 524772.68450415, 4111496.54104484, 4088329.35442395)
4997	2021-07-03	0	c(540709.347883998, 524704.915245995, 4123142.90659977, 4111496.54104484)
5085	2021-07-03	0	c(575503.359424427, 558792.904394345, 3799077.6072955, 3810536.68386685)
4993	2021-07-03	20159.898625530353	c(541912.291107072, 542018.329535795, 3868342.31851544, 3845183.42586874)
5085	2021-07-03	0	c(558646.25529325, 575127.152449276, 3833694.64402972, 3845394.19934138)
5086	2021-07-03	0	c(574937.547731306, 558350.617140028, 3868553.66330621, 3880012.92046332)
5086	2021-07-03	0	c(558201.631882721, 574555.348006892, 3903173.24106689, 3914874.93786421)
5027	2021-07-03	0	c(541044.0130586, 557291.514999517, 4053642.1718666, 4042151.84803064)
5088	2021-07-03	0	c(557291.514999517, 573385.004472449, 4042151.84803064, 4053857.68110801)
4997	2021-07-03	0	c(540596.705915434, 540709.347883998, 4146311.44370497, 4123142.90659977)
5029	2021-07-03	0	c(556512.078609195, 540596.705915434, 4157989.41176545, 4146311.44370497)
5090	2021-07-03	0	c(572585.189682114, 556512.078609195, 4146528.76157701, 4157989.41176545)
5030	2021-07-03	23172.93930835605	c(540025.409684118, 555874.960496842, 4262166.39491386, 4250674.057812)
5057	2021-07-03	0	c(573974.609620269, 557750.03437764, 3984362.74726862, 3972658.95754894)
5118	2021-07-03	0	c(590394.232170888, 573974.609620269, 3972933.16382773, 3984362.74726862)
5030	2021-07-03	0	c(555874.960496842, 556035.36262352, 4250674.057812, 4227501.67365874)
5060	2021-07-03	0	c(556035.36262352, 571975.162766247, 4227501.67365874, 4216040.5083251)
5085	2021-07-03	0	c(592026.736261952, 575503.359424427, 3810805.91260113, 3799077.6072955)
5146	2021-07-03	0	c(608779.0960568, 592026.736261952, 3799405.71084065, 3810805.91260113)
5085	2021-07-03	0	c(575127.152449276, 591797.171975151, 3845394.19934138, 3833964.62700578)
5086	2021-07-03	0	c(591334.380880427, 574937.547731306, 3880284.368914, 3868553.66330621)
5146	2021-07-03	0	c(591797.171975151, 608237.03317891, 3833964.62700578, 3845724.14361885)
5086	2021-07-03	0	c(574555.348006892, 591101.160016725, 3914874.93786421, 3903445.40067174)
5088	2021-07-03	0	c(573385.004472449, 589676.470235841, 4053857.68110801, 4042427.97003847)
5090	2021-07-03	0	c(588456.350946746, 572585.189682114, 4158268.43317495, 4146528.76157701)
5060	2021-07-03	0	c(571975.162766247, 572179.468035795, 4216040.5083251, 4192869.11937795)
5090	2021-07-03	0	c(572179.468035795, 588208.777897691, 4192869.11937795, 4181438.90915078)
5206	2021-07-03	0	c(626189.406897148, 625881.912078278, 3741718.90855569, 3764876.47332802)
5086	2021-07-03	0	c(591101.160016725, 591334.380880427, 3903445.40067174, 3880284.368914)
5118	2021-07-03	0	c(606576.381459098, 590394.232170888, 3984697.7921148, 3972933.16382773)
5088	2021-07-03	0	c(589676.470235841, 589916.922898097, 4042427.97003847, 4019262.248904)
5118	2021-07-03	0	c(589916.922898097, 606294.617623724, 4019262.248904, 4007862.76403535)
5090	2021-07-03	0	c(588208.777897691, 588456.350946746, 4181438.90915078, 4158268.43317495)
5206	2021-07-03	0	c(643104.212889081, 626189.406897148, 3730376.45300486, 3741718.90855569)
5146	2021-07-03	0	c(625261.901462506, 608779.0960568, 3811193.83459096, 3799405.71084065)
5206	2021-07-03	0	c(625881.912078278, 642407.582959384, 3764876.47332802, 3776692.99432716)
5237	2021-07-03	0	c(642407.582959384, 642056.423398071, 3776692.99432716, 3799852.36141208)
5146	2021-07-03	0	c(608237.03317891, 624949.393630224, 3845724.14361885, 3834353.63545899)
5118	2021-07-03	0	c(606294.617623724, 606576.381459098, 4007862.76403535, 3984697.7921148)
5146	2021-07-03	0	c(624949.393630224, 625261.901462506, 3834353.63545899, 3811193.83459096)
5237	2021-07-03	0	c(642056.423398071, 658498.881164722, 3799852.36141208, 3811700.49792156)
5206	2021-07-03	0	c(659672.675651292, 643104.212889081, 3742221.15538538, 3730376.45300486)
5206	2021-07-03	0	c(659283.528447763, 659672.675651292, 3765380.21908089, 3742221.15538538)
