hexid,population,infections,geometry,date,infectionsPC
47,316344.63830391114,148.3311549639086,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 2008283.38398653, 2018571.6078056, 2039148.05544376, 2049436.27926284, 2039148.05544376, 2018571.60780561, 2008283.38398653))",2020-09-17,4.688910036825325e-4
48,47222.340414442544,30.56518065105372,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 2070012.726901, 2080300.95072007, 2100877.39835823, 2111165.6221773, 2100877.39835823, 2080300.95072007, 2070012.726901))",2020-09-17,6.472610290553415e-4
49,343.6854285239979,0.22245418413776888,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465231, -2249195.38465232, -2267015.1110266, 2131742.06981546, 2142030.29363454, 2162606.7412727, 2172894.96509177, 2162606.7412727, 2142030.29363453, 2131742.06981546))",2020-09-17,6.472610290553414e-4
50,75.50228970992092,0.01346081055231422,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465231, -2249195.38465231, -2267015.1110266, 2193471.41272992, 2203759.636549, 2224336.08418716, 2234624.30800624, 2224336.08418716, 2203759.63654901, 2193471.41272992))",2020-09-17,1.782834746340877e-4
51,2818.728695967295,0.1096167873262985,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465231, -2249195.38465232, -2267015.1110266, 2255200.75564439, 2265488.97946347, 2286065.42710162, 2296353.6509207, 2286065.42710163, 2265488.97946346, 2255200.75564439))",2020-09-17,3.888873288270889e-5
52,5007.919382415394,0.29212745874133905,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465231, -2267015.1110266, 2316930.09855885, 2327218.32237793, 2347794.77001609, 2358082.99383516, 2347794.77001609, 2327218.32237793, 2316930.09855885))",2020-09-17,5.833309932406333e-5
53,33.22328907022084,0.00185979707707877,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 2378659.44147332, 2388947.6652924, 2409524.11293055, 2419812.33674963, 2409524.11293055, 2388947.66529239, 2378659.44147332))",2020-09-17,5.5978716410283905e-5
54,824.663127563625,0.1254083051927925,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465231, -2267015.1110266, 2440388.78438778, 2450677.00820686, 2471253.45584502, 2481541.67966409, 2471253.45584502, 2450677.00820686, 2440388.78438778))",2020-09-17,1.520721625608475e-4
55,530.8641169118389,0.05722744900913203,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 2502118.12730224, 2512406.35112133, 2532982.79875948, 2543271.02257856, 2532982.79875947, 2512406.35112132, 2502118.12730224))",2020-09-17,1.0780055985331524e-4
56,7336.70211787311,0.5863983909001051,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465231, -2249195.38465232, -2267015.1110266, 2563847.47021671, 2574135.69403579, 2594712.14167394, 2605000.36549302, 2594712.14167394, 2574135.69403579, 2563847.47021671))",2020-09-17,7.992670023654994e-5
57,360.5119956511858,0.04131086837021694,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 1668771.99795698, 1679060.22177606, 1699636.66941421, 1709924.89323329, 1699636.66941421, 1679060.22177606, 1668771.99795698))",2020-09-17,1.1458944187307257e-4
58,404.1086120292567,0.0933037719396474,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 1730501.34087144, 1740789.56469052, 1761366.01232868, 1771654.23614775, 1761366.01232867, 1740789.56469052, 1730501.34087144))",2020-09-17,2.308878582693813e-4
59,261462.8094998678,60.36858810251971,"list(c(-2249195.38465232, -2267015.11102659, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 1792230.68378591, 1802518.90760498, 1823095.35524314, 1833383.57906222, 1823095.35524314, 1802518.90760498, 1792230.68378591))",2020-09-17,2.3088785826938128e-4
60,534101.0045996363,454.27565635684215,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465232, 1853960.02670037, 1864248.25051945, 1884824.6981576, 1895112.92197668, 1884824.6981576, 1864248.25051945, 1853960.02670037))",2020-09-17,8.505425985808968e-4
61,1023428.0060331292,395.4134212505071,"list(c(-2249195.38465232, -2267015.1110266, -2267015.11102659, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465232, 1915689.36961483, 1925977.59343391, 1946554.04107207, 1956842.26489115, 1946554.04107207, 1925977.59343391, 1915689.36961483))",2020-09-17,3.86361736164671e-4
62,293208.6923474429,151.04615924524123,"list(c(-2249195.38465231, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465231, 1977418.7125293, 1987706.93634837, 2008283.38398653, 2018571.60780561, 2008283.38398653, 1987706.93634838, 1977418.7125293))",2020-09-17,5.151489815528946e-4
63,13604.49324236494,12.758048982009456,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2039148.05544376, 2049436.27926284, 2070012.726901, 2080300.95072007, 2070012.726901, 2049436.27926284, 2039148.05544376))",2020-09-17,9.37782007365065e-4
64,636.0647331192937,0.151787708864086,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2100877.39835823, 2111165.6221773, 2131742.06981546, 2142030.29363453, 2131742.06981546, 2111165.62217731, 2100877.39835823))",2020-09-17,2.3863563087315245e-4
