hexid	date	distToFront	geometry
5793	2020-09-25	0	c(870060.324803528, 883272.53821247, 5131245.23669869, 5143706.91368603)
5792	2020-09-25	0	c(903956.98439082, 890521.690397177, 5040201.37730279, 5027707.35554066)
5847	2020-09-25	0	c(918882.943715455, 903956.98439082, 5029528.12531369, 5040201.37730279)
5793	2020-09-25	0	c(883272.53821247, 897945.964402817, 5143706.91368603, 5133000.22143151)
5848	2020-09-25	0	c(897945.964402817, 911104.476485777, 5133000.22143151, 5145525.63191698)
5847	2020-09-25	0	c(932265.587023539, 918882.943715455, 5042086.20609643, 5029528.12531369)
5895	2020-09-25	0	c(947243.97872962, 932265.587023539, 5031477.25383784, 5042086.20609643)
5848	2020-09-25	0	c(911104.476485777, 925830.87835036, 5145525.63191698, 5134883.33503981)
5896	2020-09-25	0	c(925830.87835036, 938935.600172526, 5134883.33503981, 5147472.52199796)
5895	2020-09-25	0	c(960573.895898359, 947243.97872962, 5044099.45778691, 5031477.25383784)
5938	2020-09-25	0	c(975604.769503815, 960573.895898359, 5033554.89483882, 5044099.45778691)
5896	2020-09-25	0	c(938935.600172526, 953715.005348702, 5147472.52199796, 5136894.71855157)
5939	2020-09-25	0	c(953715.005348702, 966765.84296564, 5136894.71855157, 5149547.72883952)
5939	2020-09-25	0	c(966765.84296564, 981598.281966391, 5149547.72883952, 5139034.52253634)
5939	2020-09-25	0	c(981598.281966391, 983428.825728612, 5139034.52253634, 5115836.45142798)
5960	2020-09-25	0	c(983428.825728612, 998363.046389076, 5115836.45142798, 5105355.98119037)
5960	2020-09-25	0	c(998363.046389076, 1000237.10170703, 5105355.98119037, 5082157.94239155)
5983	2020-09-25	0	c(1000237.10170703, 1015272.50777158, 5082157.94239155, 5071710.04819669)
1318	2020-09-26	0	c(-1066245.01508129, -1059457.94551391, 5635556.68953878, 5658488.63233417)
1318	2020-09-26	0	c(-1056488.42850788, -1066245.01508129, 5620227.01931096, 5635556.68953878)
1345	2020-09-26	0	c(-1063186.8629022, -1056488.42850788, 5597273.15600378, 5620227.01931096)
1345	2020-09-26	18223.673232953886	c(-1053291.31554149, -1063186.8629022, 5581959.48929616, 5597273.15600378)
1345	2020-09-26	0	c(-1036768.96328473, -1053291.31554149, 5589648.06146561, 5581959.48929616)
1400	2020-09-26	0	c(-1026806.61629611, -1036768.96328473, 5574399.19549213, 5589648.06146561)
1427	2020-09-26	0	c(-1033295.28241554, -1026806.61629611, 5551413.98650938, 5574399.19549213)
1427	2020-09-26	0	c(-1023195.33320812, -1033295.28241554, 5536182.5587857, 5551413.98650938)
1427	2020-09-26	0	c(-1006678.02594854, -1023195.33320812, 5543983.71602907, 5536182.5587857)
1482	2020-09-26	0	c(-996512.316647073, -1006678.02594854, 5528817.50218745, 5543983.71602907)
1510	2020-09-26	0	c(-1002792.91350792, -996512.316647073, 5505803.34397174, 5528817.50218745)
1510	2020-09-26	0	c(-992490.981473065, -1002792.91350792, 5490655.94318967, 5505803.34397174)
1510	2020-09-26	0	c(-975979.407159663, -992490.981473065, 5498569.09801602, 5490655.94318967)
1510	2020-09-26	0	c(-969818.793651695, -975979.407159663, 5521591.98083405, 5498569.09801602)
1538	2020-09-26	0	c(-953411.228920908, -969818.793651695, 5529541.56564999, 5521591.98083405)
1594	2020-09-26	0	c(-943115.101674419, -953411.228920908, 5514505.54150437, 5529541.56564999)
1594	2020-09-26	0	c(-926762.369666241, -943115.101674419, 5522528.78671834, 5514505.54150437)
1650	2020-09-26	0	c(-916401.569682563, -926762.369666241, 5507557.73840935, 5522528.78671834)
1650	2020-09-26	0	c(-900103.64338609, -916401.569682563, 5515654.28486237, 5507557.73840935)
1650	2020-09-26	0	c(-894215.762101163, -900103.64338609, 5538685.21207318, 5515654.28486237)
1679	2020-09-26	0	c(-878021.899308851, -894215.762101163, 5546818.34597796, 5538685.21207318)
1679	2020-09-26	0	c(-872168.431848956, -878021.899308851, 5569841.20392565, 5546818.34597796)
1708	2020-09-26	0	c(-856078.926300072, -872168.431848956, 5578011.30089956, 5569841.20392565)
1708	2020-09-26	0	c(-850260.356384824, -856078.926300072, 5601026.57256526, 5578011.30089956)
1850	2020-09-26	0	c(-825023.164208516, -819407.809474251, 5533644.08636423, 5556684.00577187)
1850	2020-09-26	0	c(-814539.556952388, -825023.164208516, 5518911.15474284, 5533644.08636423)
1850	2020-09-26	0	c(-819407.809474251, -803427.489843305, 5556684.00577187, 5564999.18642596)
1879	2020-09-26	0	c(-803427.489843305, -797847.450977211, 5564999.18642596, 5588032.25663795)
